"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20","Target"
"1","K1",128,415,"01dc820b1aa6175cef997a09f88da685","no","yes",25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,"False."
"2",NA,NA,415,"6d146b9e63153486681d1f756d307806","no","yes",26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,"False."
"3","N5",137,415,"8b5d5b1825d00c99b28cd8464215739b","no","no",0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,"False."
"4","O1",84,408,NA,"yes","no",NA,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,NA,"False."
"5","O2",75,415,"ffd5bfdb4243cbe84b2e1fbabaac2d2a","yes","no",0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,"False."
"6","A2",118,510,"25065790aca03b4476e8c50ad9dbbec6","yes","no",0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,"False."
"7","M1",121,510,"3b886040585e7bc0999ad8a39b8500c6","no","yes",NA,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,"False."
"8","M6",147,415,"52b28dc642bfb9ab765d4df0e7553c67","yes","no",0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,"False."
"9","L1",117,408,"680b41f81587d011eec63ce4074fe923","no","no",0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,"False."
"10","W3",141,415,"7160c9c572be909c6731a586baa8588c","yes","yes",37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,"False."
"11","I4",65,415,NA,"no","no",0,129.1,137,21.95,NA,83,19.42,208.8,111,NA,12.7,6,3.43,4,"True."
"12","R1",74,415,"a36540ff134ec0636783dbece5fed502","no",NA,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,"False."
"13","I1",168,408,"1667ecb4edc5e939e5e25064aa931c40","no",NA,NA,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,"False."
"14","M8",95,510,"c84b7834af28e314504c55f6312f4232","no","no",0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,NA,3.32,3,"False."
"15","I1",62,415,"66faecab758107df5f23f0a0cf0459e9","no","no",0,NA,70,20.52,307.2,76,NA,203,99,9.14,13.1,6,3.54,4,"False."
"16","N8",161,415,"1446381d2fa5d044c8d8c5a304dd52dc","no","no",0,332.9,NA,56.59,NA,97,27.01,160.6,128,7.23,5.4,9,1.46,4,"True."
"17","I2",85,408,"77d09fdc2c5d72ebf396a13aac2faca9","no","yes",27,196.4,NA,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,"False."
"18","V2",93,510,"e31097ed59e3f2c8ca75e1a9394a7dee","no","no",0,190.7,NA,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,"False."
"19","V1",NA,510,"883f7c97edfc598061a20885c9e3a069","no","yes",33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,"False."
"20","T2",73,415,NA,"no",NA,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,"False."
"21","F1",147,415,"271d90302ec201095af16df67269795e","no","no",0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,NA,2.86,NA,"False."
"22","C2",77,408,"c876cd08985f0ffab68523e98d7c730a","no","no",0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,"True."
"23","A4",130,415,"ea67269a21cf82d6e97644478d98c771","no","no",0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,"False."
"24","S1",111,415,"535dc834dab0be0bd7de46935d468c65","no","no",0,110.4,103,18.77,137.3,102,NA,189.6,105,8.53,7.7,6,2.08,2,"False."
"25","V1",NA,510,"4822d5d04828fc8b8bdf29e4c6fac6e3","no","no",0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,"False."
"26","N3",174,415,"7066044c396f8c20aefe1d50453da14c","no","no",0,124.3,76,21.13,277.1,NA,23.55,250.7,115,11.28,15.5,5,4.19,3,"False."
